question text,option 1,option 2,option 3,option 4,correct answer,difficulty level,subject,prep level,unit number
What did Sarah do during her summer vacation?,She went to the mountains,She visited her grandparents,She stayed at the beach,She attended a summer camp,C,Easy,English,Prep 1,1
Which sentence describes a summer activity?,I built a snowman last week,I went swimming in the ocean,I studied for my winter exams,I bought a new winter coat,B,Easy,English,Prep 1,1
What is typically NOT a summer activity?,Going to the beach,Swimming in a pool,Building a snowman,Having a barbecue,C,Easy,English,Prep 1,1
"Complete the sentence: ""Last summer, I ___ to Spain with my family.""",went,going,go,will go,A,Easy,English,Prep 1,1
"Which is the correct past tense form of ""swim""?",swimmed,swam,swimming,swum,B,Easy,English,Prep 1,1
What is a common summer greeting?,Merry Christmas!,Happy New Year!,Have a great summer!,Stay warm!,C,Easy,English,Prep 1,1
Which item would you NOT need for a day at the beach?,Sunscreen,Swimsuit,Winter boots,Beach towel,C,Easy,English,Prep 1,1
"Complete the sentence: ""We ___ sandcastles on the beach yesterday.""",build,built,building,builds,B,Easy,English,Prep 1,1
What is the weather usually like in summer?,Cold and snowy,Hot and sunny,Windy and rainy,Cool and foggy,B,Easy,English,Prep 1,1
Which phrase best describes a summer vacation?,Winter wonderland,Spring flowers,Autumn leaves,Summer fun,D,Easy,English,Prep 1,1
"In the sentence ""I had a great summer,"" what tense is used?",Present tense,Past tense,Future tense,Present perfect tense,B,Medium,English,Prep 1,1
Which sentence uses the correct form of the verb?,I swimmed in the lake,I swimming in the lake,I swim in the lake yesterday,I swam in the lake,D,Medium,English,Prep 1,1
"What is the past tense of ""go""?",goed,went,going,gone,B,Medium,English,Prep 1,1
"Complete the sentence: ""Last summer, we ___ camping by the lake.""",goes,went,going,go,B,Medium,English,Prep 1,1
Which sentence contains an error?,We visited the beach last summer.,I swimmed in the ocean yesterday.,They played volleyball on the sand.,She took many photos during her vacation.,B,Medium,English,Prep 1,1
What is the correct question to ask about someone's summer vacation?,How was your summer vacation?,How is your summer vacation?,How your summer vacation?,How summer vacation?,A,Medium,English,Prep 1,1
Which sentence is in the past tense?,I am going to the beach tomorrow.,I go to the beach every summer.,I went to the beach last weekend.,I will go to the beach next summer.,C,Medium,English,Prep 1,1
"Complete the dialogue: ""Did you enjoy your summer vacation?"" ""Yes, I ___.""",did,do,am,was,A,Medium,English,Prep 1,1
Which is NOT a summer fruit?,Watermelon,Strawberry,Pumpkin,Peach,C,Medium,English,Prep 1,1
What is the correct way to describe a past summer experience?,Last summer I go to the beach.,Last summer I went to the beach.,Last summer I going to the beach.,Last summer I will go to the beach.,B,Medium,English,Prep 1,1
"In the sentence ""I had a wonderful time at the beach,"" what does ""had"" mean?",Possessed something,Experienced something,Ate something,Held something,B,Hard,English,Prep 1,1
Which sentence uses the past continuous tense correctly?,I was swimming when it started to rain.,I swimming when it started to rain.,I swam when it started to rain.,I were swimming when it started to rain.,A,Hard,English,Prep 1,1
"Complete the sentence with the correct form: ""While I ___ (sunbathe), my friend ___ (take) photos.""",was sunbathing / took,sunbathed / was taking,was sunbathing / was taking,sunbathed / took,C,Hard,English,Prep 1,1
Which sentence contains a time expression typically used with the past simple tense?,I have visited the beach many times.,I visited the beach last week.,I am visiting the beach now.,I visit the beach every summer.,B,Hard,English,Prep 1,1
"What is the difference between ""I went swimming"" and ""I was swimming""?","The first is a completed action, the second is an action in progress","The first is in present tense, the second is in past tense","The first is a question, the second is a statement","The first is formal, the second is informal",A,Hard,English,Prep 1,1
Which sentence uses the past perfect tense correctly?,I had visited the beach before it rained.,I have visited the beach before it rained.,I was visiting the beach before it rained.,I visited the beach before it rained.,A,Hard,English,Prep 1,1
"In the sentence ""I had never seen such a beautiful sunset before,"" what tense is used?",Past simple,Past continuous,Past perfect,Present perfect,C,Hard,English,Prep 1,1
Which question would you ask to find out about someone's summer activities?,What do you do in summer?,What did you do last summer?,What will you do in summer?,What are you doing in summer?,B,Hard,English,Prep 1,1
"Complete the sentence: ""By the time we arrived at the beach, the sun ___.""",sets,set,had set,setting,C,Hard,English,Prep 1,1
"What is the correct negative form of ""I went to the beach""?",I no went to the beach.,I didn't went to the beach.,I didn't go to the beach.,I not go to the beach.,C,Medium,English,Prep 1,1
